Title,Date
"Stranger Things: Stranger Things 4: Chapter Nine: The Piggyback","11/8/25"
"Stranger Things: Stranger Things 4: Chapter Eight: Papa","11/8/25"
"Stranger Things: Stranger Things 4: Chapter Seven: The Massacre at Hawkins Lab","11/8/25"
"Frankenstein","11/7/25"
"Stranger Things: Stranger Things 4: Chapter Six: The Dive","11/6/25"
"Stranger Things: Stranger Things 4: Chapter Five: The Nina Project","11/5/25"
"Stranger Things: Stranger Things 4: Chapter Four: Dear Billy","11/5/25"
"Stranger Things: Stranger Things 4: Chapter Three: The Monster and the Superhero","11/5/25"
"Stranger Things: Stranger Things 4: Chapter Two: Vecna's Curse","11/4/25"
"Stranger Things: Stranger Things 4: Chapter One: The Hellfire Club","11/3/25"
"Stranger Things: Stranger Things 3: Chapter Eight: The Battle of Starcourt","11/2/25"
"Stranger Things: Stranger Things 3: Chapter Seven: The Bite","11/2/25"
"Stranger Things: Stranger Things 3: Chapter Six: E Pluribus Unum","11/2/25"
"Stranger Things: Stranger Things 3: Chapter Five: The Flayed","11/2/25"
"Stranger Things: Stranger Things 3: Chapter Four: The Sauna Test","11/2/25"
"The Great Indian Kapil Show: Season 1: Kings of Hip Hop - Badshah, Divine and Karan Aujla","11/2/25"
"The Great Indian Kapil Show: Season 3: Musical Mehfil","11/2/25"
"Stranger Things: Stranger Things 3: Chapter Three: The Case of the Missing Lifeguard","11/2/25"
"The Great Indian Kapil Show: Season 3: Yaaron Ka Adda","11/2/25"
"Stranger Things: Stranger Things 3: Chapter Two: The Mall Rats","11/2/25"
"Stranger Things: Stranger Things 3: Chapter One: Suzie, Do You Copy?","11/2/25"
"Stranger Things: Stranger Things 2: Chapter Nine: The Gate","11/2/25"
"Stranger Things: Stranger Things 2: Chapter Eight: The Mind Flayer","11/2/25"
"Stranger Things: Stranger Things 2: Chapter Seven: The Lost Sister","11/2/25"
"Stranger Things: Stranger Things 2: Chapter Six: The Spy","11/1/25"
"Stranger Things: Stranger Things 2: Chapter Five: Dig Dug","11/1/25"
"Stranger Things: Stranger Things 2: Chapter Four: Will the Wise","11/1/25"
"Stranger Things: Stranger Things 2: Chapter Three: The Pollywog","11/1/25"
"Stranger Things: Stranger Things 2: Chapter Two: Trick or Treat, Freak","11/1/25"
"C.I.D: Episodes (76-104): 01-11-2025 Death Of A Fortune Teller","11/1/25"
"Kurukshetra: Krishn","11/1/25"
"Kurukshetra: Stree Parv","11/1/25"
"Kurukshetra: Ashwatthama","11/1/25"
"Kurukshetra: Bheem","11/1/25"
"Kurukshetra: Duryodhan","11/1/25"
"Kurukshetra: Karn","11/1/25"
"Kurukshetra: Dushasan","11/1/25"
"Kurukshetra: Kunti","11/1/25"
"Kurukshetra: Kripacharya","11/1/25"
"Stranger Things: Stranger Things 2: Chapter One: MADMAX","11/1/25"
"Stranger Things: Chapter Eight: The Upside Down","11/1/25"
"Stranger Things: Chapter Seven: The Bathtub","11/1/25"
"Idli Kadai","11/1/25"
"Stranger Things: Chapter Six: The Monster","11/1/25"
"Stranger Things: Chapter Five: The Flea and the Acrobat","11/1/25"
"Stranger Things: Chapter Four: The Body","10/31/25"
"Kung Fu Panda 4","10/30/25"
"C.I.D: Episodes (1-25): 21-12-2024 Sniper Rifle Murderer","10/30/25"
"Stranger Things: Chapter Three: Holly, Jolly","10/30/25"
"They Call Him OG","10/29/25"
"Bullet Train","10/29/25"
"The Ba***ds of Bollywood: Meet The Ba***ds","10/29/25"
"Shadow and Bone: Season 2: No Funerals","10/28/25"
"Shadow and Bone: Season 2: Meet You in the Meadow","10/28/25"
"Shadow and Bone: Season 2: Ni Weh Sesh (I Have No Heart)","10/28/25"
"Shadow and Bone: Season 2: Yuyeh Sesh (Despise Your Heart)","10/28/25"
"C.I.D: Episodes (76-104): 26-10-2025 Karmo Ka Phal","10/26/25"
"C.I.D: Episodes (76-104): 25-10-2025 RJ Ki Maut","10/26/25"
"C.I.D: Episodes (76-104): 19-10-2025 An Obsessed Fan","10/26/25"
"C.I.D: Episodes (76-104): 18-10-2025 Bungalow Mein Maut","10/26/25"
"Vash Level 2","10/26/25"
"Shadow and Bone: Season 2: Every Monstrous Thing","10/25/25"
"Anweshippin Kandethum","10/25/25"
"Kantara (Hindi)","10/24/25"
"Mahavatar Narsimha","10/24/25"
"Greater Kalesh","10/24/25"
"Serious Men","10/24/25"
"Shadow and Bone: Season 2: Like Calls to Like","10/23/25"
"Shadow and Bone: Season 2: Rusalye","10/22/25"
"Shadow and Bone: Season 2: No Shelter But Me","10/21/25"
"Fatherhood","10/21/25"
"Saiyaara","10/21/25"
"Shadow and Bone: Season 1: No Mourners","10/20/25"
"Shadow and Bone: Season 1: The Unsea","10/20/25"
"Shadow and Bone: Season 1: The Heart Is an Arrow","10/20/25"
"Sector 36","10/20/25"
"Shadow and Bone: Season 1: Show Me Who You Are","10/19/25"
"Shadow and Bone: Season 1: Otkazat’sya","10/19/25"
"Shadow and Bone: Season 1: The Making at the Heart of the World","10/19/25"
"Brothers","10/19/25"
"Shadow and Bone: Season 1: We’re All Someone’s Monster","10/19/25"
"Shadow and Bone: Season 1: A Searing Burst of Light","10/19/25"
"Karthik Calling Karthik","10/18/25"
"Stranger Things: Chapter Two: The Weirdo on Maple Street","10/18/25"
"Gin Tama: Season 1: You Guys!! Do You Even Have a Gintama?","10/18/25"
"Berserk: Episode 1","10/18/25"
"Dabangg 3","10/17/25"
"C.I.D: Episodes (76-104): 12-10-2025 Deadly Overtime","10/17/25"
"One-Punch Man: Season 3: Strategy Meeting","10/16/25"
"War 2","10/16/25"
"A Beautiful Mind","10/16/25"
"Stranger Things: Chapter One: The Vanishing of Will Byers","10/15/25"
"Raees","10/13/25"
"Class of '83","10/13/25"
"The Ba***ds of Bollywood: The Filmfirst Awards","10/13/25"
"Saripodhaa Sanivaaram","10/12/25"
"Locke & Key: Season 2: The Premiere","10/12/25"
"Locke & Key: Season 1: Crown of Shadows","10/12/25"
"Locke & Key: Season 1: Echoes","10/12/25"
"Locke & Key: Season 1: Ray of F**king Sunshine","10/12/25"
"Locke & Key: Season 1: Dissection","10/12/25"
"Locke & Key: Season 1: The Black Door","10/12/25"
"Locke & Key: Season 1: Family Tree","10/12/25"
"Locke & Key: Season 1: The Keepers of the Keys","10/11/25"
"Locke & Key: Season 1: Head Games","10/11/25"
"Locke & Key: Season 1: Trapper / Keeper","10/11/25"
"Locke & Key: Season 1: Welcome to Matheson","10/11/25"
"C.I.D: Episodes (76-104): 11-10-2025 Murder At The Resort","10/11/25"
"CBI 5: The Brain","10/11/25"
"Alice in Borderland: Season 3: Episode 6","10/11/25"
"Alice in Borderland: Season 3: Episode 5","10/11/25"
"C.I.D: Episodes (76-104): 05-10-2025 Curious Case Of Artificial Intelligence","10/10/25"
"C.I.D: Episodes (76-104): 04-10-2025 A Poisoned Necklace","10/10/25"
"Kurukshetra: Yudhisthir","10/10/25"
"Kurukshetra: Ghatotkach","10/10/25"
"Kurukshetra: Arjun","10/10/25"
"Kurukshetra: Jayadrath","10/10/25"
"Kurukshetra: Abhimanyu","10/10/25"
"Kurukshetra: Dronacharya","10/10/25"
"Kurukshetra: Bhishm","10/10/25"
"Kurukshetra: Vishwaroop","10/10/25"
"Kurukshetra: Sanjay","10/10/25"
"Alice in Borderland: Season 3: Episode 4","10/9/25"
"Alice in Borderland: Season 3: Episode 3","10/9/25"
"Alice in Borderland: Season 3: Episode 2","10/8/25"
"Alice in Borderland: Season 3: Episode 1","10/8/25"
