Title,Date
"No Good Nick: Part 1: The Badger Game","11/5/25"
"No Good Nick: Part 1: The Money-Box Scheme","11/5/25"
"No Good Nick: Part 1: The Pig in a Poke","11/4/25"
"No Good Nick: Part 1: The Catfish","11/4/25"
"The Ba***ds of Bollywood: ⁠⁠Movie Mafia","11/3/25"
"Vash Level 2","11/3/25"
"The Ba***ds of Bollywood: Meet The Ba***ds","11/3/25"
"Shaitaan","11/3/25"
"Delhi Crime: Season 1: Episode 1","11/3/25"
"Locke & Key: Season 3: Farewell","10/27/25"
"Locke & Key: Season 3: Curtain","10/27/25"
"Locke & Key: Season 3: Free Bird","10/27/25"
"Locke & Key: Season 3: Siege","10/27/25"
"Locke & Key: Season 3: Deep Cover","10/27/25"
"Locke & Key: Season 3: Five Minutes Past","10/26/25"
"Locke & Key: Season 3: Wedding Crashers","10/26/25"
"Locke & Key: Season 3: The Snow Globe","10/26/25"
"Son of Sardaar 2","10/24/25"
"Kantara (Hindi)","10/21/25"
"The Ba***ds of Bollywood: Picture Ka Title Hoga…","10/20/25"
"The Ba***ds of Bollywood: The Filmfirst Awards","10/20/25"
"The Ba***ds of Bollywood: My Hero","10/20/25"
"The Ba***ds of Bollywood: Bullshit Party","10/19/25"
"The Ba***ds of Bollywood: Barbaad Mohabbat","10/19/25"
"The Great Indian Kapil Show: Season 3: Metro Masti","10/18/25"
"Locke & Key: Season 2: Cliffhanger","10/14/25"
"Locke & Key: Season 2: Alpha & Omega","10/14/25"
"Locke & Key: Season 2: Irons in the Fire","10/14/25"
"Locke & Key: Season 2: Best Laid Plans","10/13/25"
"Locke & Key: Season 2: The Maze","10/13/25"
"Locke & Key: Season 2: Past is Prologue","10/13/25"
"Locke & Key: Season 2: Forget Me Not","10/13/25"
"Locke & Key: Season 2: Small World","10/13/25"
"Locke & Key: Season 2: The Head and the Heart","10/12/25"
"Locke & Key: Season 2: The Premiere","10/12/25"
"Locke & Key: Season 1: Crown of Shadows","10/12/25"
"Locke & Key: Season 1: Welcome to Matheson","10/12/25"
"Saare Jahan Se Accha: Episode 6","9/30/25"
"Saare Jahan Se Accha: Episode 5","9/28/25"
"Saare Jahan Se Accha: Episode 4","9/28/25"
"Saare Jahan Se Accha: Episode 3","9/28/25"
"Saare Jahan Se Accha: Episode 1","9/27/25"
"Saiyaara","9/27/25"
"Tehran","9/10/25"
"C.I.D: Episodes (51-75): 23-08-2025 Dead Principal","8/23/25"
"The Diplomat","8/8/25"
"Too Hot to Handle: Season 6: Bad to the Cone","8/2/25"
"Mandala Murders: Chapter 8","8/2/25"
"Mandala Murders: Chapter 7","8/2/25"
"Mandala Murders: Chapter 6","8/2/25"
"Mandala Murders: Chapter 5","8/2/25"
"Mandala Murders: Chapter 4","8/2/25"
"Mandala Murders: Chapter 3","8/2/25"
"Mandala Murders: Chapter 2","8/1/25"
"Mandala Murders: Chapter 1","8/1/25"
"Raid 2","7/12/25"
"Business Proposal: Limited Series: Episode 12","7/10/25"
"Business Proposal: Limited Series: Episode 11","7/10/25"
"Business Proposal: Limited Series: Episode 10","7/10/25"
"Business Proposal: Limited Series: Episode 9","7/10/25"
"Business Proposal: Limited Series: Episode 8","7/10/25"
"Business Proposal: Limited Series: Episode 7","7/9/25"
"Business Proposal: Limited Series: Episode 6","7/9/25"
"Business Proposal: Limited Series: Episode 5","7/9/25"
"Business Proposal: Limited Series: Episode 4","7/9/25"
"Business Proposal: Limited Series: Episode 3","7/9/25"
"Business Proposal: Limited Series: Episode 2","7/9/25"
"Business Proposal: Limited Series: Episode 1","7/8/25"
"Maid: Limited Series: Sea Glass","5/6/25"
"Maid: Limited Series: Ponies","5/6/25"
"Maid: Limited Series: Dollar Store","5/6/25"
"Deva","5/4/25"
"Jewel Thief - The Heist Begins","5/4/25"
"Hijack '93","5/2/25"
"Workin' Moms: Season 1: Pilot","5/2/25"
"Workin' Moms: Season 7: Ohmygodohmygodohmygod","5/2/25"
"Workin' Moms: Season 3: Daddy's Home","5/2/25"
"You: Season 4: Joe Takes a Holiday","4/30/25"
"You: Season 1: Pilot","4/28/25"
"Under Paris","4/26/25"
"Mako","4/26/25"
"Wanita Ahli Neraka","4/26/25"
"Gilmore Girls: Season 1: Rory's Dance","4/24/25"
"C.I.D: Episodes (1-25): 21-12-2024 Sniper Rifle Murderer","4/20/25"
"Khakee: The Bengal Chapter: Jay-Veeru","4/15/25"
"Khakee: The Bengal Chapter: Gurudakshina","4/15/25"
"Khakee: The Bengal Chapter: City of Joy","4/15/25"
"Gilmore Girls: Season 1: Love & War & Snow","4/15/25"
"Gilmore Girls: Season 1: Kiss and Tell","4/15/25"
"Gilmore Girls: Season 1: Rory's Birthday Parties","4/15/25"
"Gilmore Girls: Season 1: Cinnamon's Wake","4/14/25"
"Gilmore Girls: Season 1: The Deer Hunters","4/14/25"
"Gilmore Girls: Season 1: Kill Me Now","4/14/25"
"Gilmore Girls: Season 1: The Lorelais' First Day at Chilton","4/14/25"
"Gilmore Girls: Season 1: Pilot","4/14/25"
